element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,player_id,name,position,team
1.0,2.0,8.0,0.0,False,2020-09-12T11:30:00Z,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,76656.0,0.0,0.0,1,Mesut Özil,MID,1
1.0,9.0,19.0,0.0,True,2020-09-19T19:00:00Z,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,-16828.0,68335.0,995.0,17823.0,1,Mesut Özil,MID,1
1.0,23.0,11.0,0.0,False,2020-09-28T19:00:00Z,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,-11451.0,59793.0,675.0,12126.0,1,Mesut Özil,MID,1
1.0,29.0,15.0,0.0,True,2020-10-04T13:00:00Z,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,-5324.0,56403.0,647.0,5971.0,1,Mesut Özil,MID,1
1.0,44.0,12.0,0.0,False,2020-10-17T16:30:00Z,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,-4224.0,53689.0,616.0,4840.0,1,Mesut Özil,MID,1
2.0,2.0,8.0,0.0,False,2020-09-12T11:30:00Z,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,12184.0,0.0,0.0,2,Sokratis Papastathopoulos,DEF,1
2.0,9.0,19.0,0.0,True,2020-09-19T19:00:00Z,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-4015.0,8234.0,51.0,4066.0,2,Sokratis Papastathopoulos,DEF,1
2.0,23.0,11.0,0.0,False,2020-09-28T19:00:00Z,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-1641.0,6874.0,9673.0,11314.0,2,Sokratis Papastathopoulos,DEF,1
2.0,29.0,15.0,0.0,True,2020-10-04T13:00:00Z,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-739.0,6274.0,38.0,777.0,2,Sokratis Papastathopoulos,DEF,1
2.0,44.0,12.0,0.0,False,2020-10-17T16:30:00Z,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-167.0,6624.0,233.0,400.0,2,Sokratis Papastathopoulos,DEF,1
3.0,2.0,8.0,0.0,False,2020-09-12T11:30:00Z,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,69564.0,0.0,0.0,3,David Luiz Moreira Marinho,DEF,1
3.0,9.0,19.0,1.0,True,2020-09-19T19:00:00Z,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,55.0,-23455.0,49797.0,1738.0,25193.0,3,David Luiz Moreira Marinho,DEF,1
3.0,23.0,11.0,1.0,False,2020-09-28T19:00:00Z,3.0,1.0,3.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.2,3.2,0.0,2.3,55.0,711.0,61983.0,7407.0,6696.0,3,David Luiz Moreira Marinho,DEF,1
3.0,29.0,15.0,2.0,True,2020-10-04T13:00:00Z,2.0,1.0,4.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,0.8,0.0,2.4,55.0,1264.0,69592.0,6180.0,4916.0,3,David Luiz Moreira Marinho,DEF,1
3.0,44.0,12.0,2.0,False,2020-10-17T16:30:00Z,1.0,0.0,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.6,3.3,19.0,3.7,55.0,-1132.0,73952.0,5063.0,6195.0,3,David Luiz Moreira Marinho,DEF,1
4.0,2.0,8.0,7.0,False,2020-09-12T11:30:00Z,0.0,3.0,1.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,36.6,15.3,54.0,10.6,120.0,0.0,2823465.0,0.0,0.0,4,Pierre-Emerick Aubameyang,MID,1
4.0,9.0,19.0,5.0,True,2020-09-19T19:00:00Z,2.0,1.0,2.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,28.0,36.4,15.0,7.9,120.0,-76570.0,3002806.0,146991.0,223561.0,4,Pierre-Emerick Aubameyang,MID,1
4.0,23.0,11.0,2.0,False,2020-09-28T19:00:00Z,3.0,1.0,3.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,0.9,4.0,0.9,119.0,-967555.0,2046859.0,50656.0,1018211.0,4,Pierre-Emerick Aubameyang,MID,1
4.0,29.0,15.0,2.0,True,2020-10-04T13:00:00Z,2.0,1.0,4.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.4,4.6,30.0,4.4,119.0,-120167.0,2000213.0,106551.0,226718.0,4,Pierre-Emerick Aubameyang,MID,1
4.0,44.0,12.0,2.0,False,2020-10-17T16:30:00Z,1.0,0.0,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.6,29.9,2.0,4.1,118.0,-582811.0,1397443.0,29415.0,612226.0,4,Pierre-Emerick Aubameyang,MID,1
5.0,2.0,8.0,0.0,False,2020-09-12T11:30:00Z,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,35774.0,0.0,0.0,5,Cédric Soares,DEF,1
5.0,9.0,19.0,0.0,True,2020-09-19T19:00:00Z,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-11854.0,27448.0,901.0,12755.0,5,Cédric Soares,DEF,1
