chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,37605,0,0,-2,2,0,3,0.0,-0.5,0,Mesut,0.0,1,False,,,68,37605.jpg,0.0,Özil,0.7,False,,a,1,3,0,3033,100,41163,403,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,573,234,574,234,573,233,574,234,,,,,,
100.0,100.0,39476,0,0,-1,1,0,2,0.0,-0.5,0,Sokratis,0.0,2,False,,2020-09-11T11:00:08.600094Z,49,39476.jpg,0.0,Papastathopoulos,0.1,False,,a,1,3,0,10045,50,16613,56,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,498,195,490,195,465,186,502,195,,,,,,
100.0,100.0,41270,0,0,0,0,0,2,1.5,1.0,2,David,1.5,3,False,,2020-09-10T14:30:11.632386Z,55,41270.jpg,1.5,Luiz Moreira Marinho,1.0,False,,a,1,3,6,21483,1095,43581,581,0.3,1.1,David Luiz,271,0,0,0,5,0,0,0,0,0,0,0,39,57.8,7.3,19.0,8.4,136,52,252,77,183,49,199,60,,,4.0,,,
100.0,75.0,54694,0,0,-2,2,0,3,2.8,1.7,2,Pierre-Emerick,2.8,4,False,,2020-10-08T09:00:12.305506Z,118,54694.jpg,3.6,Aubameyang,19.4,False,,a,1,3,18,336422,2809,2118486,37770,0.2,1.5,Aubameyang,450,1,1,1,6,0,0,0,1,0,0,0,61,86.8,87.1,105.0,27.9,74,27,35,26,36,19,34,17,,,6.0,,1.0,
100.0,100.0,58822,0,0,-2,2,0,2,0.0,-0.5,0,Cédric,0.0,5,False,,2020-09-23T09:00:14.881983Z,48,58822.jpg,0.0,Soares,0.2,False,,a,1,3,0,2150,64,27599,148,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,489,191,479,191,450,180,493,191,,,,,,
,,59966,0,0,0,0,0,4,3.8,3.3,1,Alexandre,3.8,6,False,,,85,59966.jpg,5.5,Lacazette,4.7,False,,a,1,3,22,233278,1748,232820,10003,0.4,2.6,Lacazette,256,3,0,1,3,0,0,0,0,0,0,3,82,112.0,29.8,134.0,27.6,35,10,134,15,26,16,36,15,,,5.0,,3.0,
0.0,0.0,69140,0,0,0,0,0,2,0.0,0.0,0,Shkodran,0.0,7,False,Hamstring injury - Expected back 25 Oct,2020-08-15T10:00:11.331812Z,50,69140.jpg,0.0,Mustafi,0.0,False,,i,1,3,0,9842,14,10212,11,0.0,0.0,Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,527,205,522,205,507,199,531,205,,,,,,
,,80201,0,0,0,0,0,1,2.5,2.0,3,Bernd,2.5,8,False,,,50,80201.jpg,3.4,Leno,9.7,False,,a,1,3,17,301297,5309,230119,2877,0.5,3.4,Leno,450,0,0,1,6,0,0,0,0,0,14,2,100,110.6,0.0,0.0,11.1,36,3,524,52,509,51,148,4,,,,,,
,,84450,0,0,-1,1,0,3,1.5,1.0,2,Granit,1.5,9,False,,,54,84450.jpg,1.8,Xhaka,0.7,False,,a,1,3,9,19068,157,38512,583,0.3,1.7,Xhaka,317,0,0,1,5,0,0,0,0,0,0,0,42,37.8,29.1,21.0,8.7,202,81,136,88,177,96,189,90,,,2.0,,,
0.0,0.0,92371,-1,1,-1,1,0,2,0.0,0.0,0,Pablo,0.0,10,False,Ankle injury - Expected back 25 Oct,2020-08-15T10:00:11.357231Z,44,92371.jpg,0.0,Marí,0.0,False,,i,1,3,0,186,3,531,7,0.0,0.0,Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,415,160,398,159,357,144,420,160,,,,,,
