chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,gw,name,position
0.0,0.0,37605,0,0,-2,2,0,3,0.0,0.0,0,Mesut,0.0,1,False,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,37605.jpg,0.0,Özil,0.6,False,,n,1,3,0,3277,11,47957,533,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,593,237,592,236,594,237,594,237,,,,,,,7,Mesut Özil,MID
0.0,0.0,39476,0,0,-1,1,0,2,0.0,0.0,0,Sokratis,0.0,2,False,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,39476.jpg,0.0,Papastathopoulos,0.1,False,,n,1,3,0,10195,0,17862,105,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,539,205,529,205,514,196,543,205,,,,,,,7,Sokratis Papastathopoulos,DEF
50.0,50.0,41270,0,0,0,0,0,2,0.8,0.6,0,David,1.2,3,False,Thigh injury - 50% chance of playing,2020-10-25T21:30:13.186040Z,55,41270.jpg,1.4,Luiz Moreira Marinho,1.0,False,,d,1,3,7,29606,92,60564,2224,0.2,1.3,David Luiz,319,0,0,0,5,0,0,0,0,0,0,0,51,66.6,9.8,21.0,9.7,175,71,288,92,214,61,235,78,,,4.0,,,,7,David Luiz Moreira Marinho,DEF
100.0,100.0,54694,0,0,-3,3,0,3,3.7,3.2,7,Pierre-Emerick,3.2,4,False,,2020-10-08T09:00:12.305506Z,117,54694.jpg,3.9,Aubameyang,13.7,False,,a,1,3,27,359198,4432,2543394,14828,0.3,2.3,Aubameyang,626,2,1,2,7,0,0,0,2,0,0,0,104,93.4,103.1,117.0,31.4,116,43,44,32,45,24,54,30,,,6.0,,1.0,,7,Pierre-Emerick Aubameyang,MID
100.0,100.0,58822,0,0,-3,3,0,2,0.5,0.0,0,Cédric,0.0,5,False,,2020-09-23T09:00:14.881983Z,47,58822.jpg,0.0,Soares,0.2,False,,a,1,3,0,2650,72,30008,175,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,517,198,504,198,481,187,521,198,,,,,,,7,Cédric Soares,DEF
,,59966,0,0,-1,1,0,4,1.5,1.0,2,Alexandre,1.0,6,False,,,84,59966.jpg,4.2,Lacazette,3.5,False,,a,1,3,25,244027,1253,331829,4515,0.1,3.0,Lacazette,421,3,0,2,4,0,0,0,1,0,0,3,88,114.4,51.2,180.0,34.6,79,13,119,17,25,15,44,16,,,5.0,,3.0,,7,Alexandre Lacazette,FWD
100.0,100.0,69140,0,0,0,0,0,2,1.0,0.5,1,Shkodran,0.5,7,False,,2020-08-15T10:00:11.331812Z,50,69140.jpg,1.0,Mustafi,0.0,False,,a,1,3,2,10335,83,10394,29,0.1,0.4,Mustafi,44,0,0,0,1,0,0,0,0,0,0,0,13,7.6,1.0,0.0,0.9,354,136,351,132,540,206,379,139,,,,,,,7,Shkodran Mustafi,DEF
,,80201,0,0,0,0,1,1,4.0,3.5,7,Bernd,3.5,8,False,,,50,80201.jpg,3.7,Leno,9.0,False,,a,1,3,26,334687,2521,310762,6620,0.7,5.2,Leno,630,0,0,2,7,0,0,0,0,0,18,2,138,122.6,0.0,0.0,12.3,63,11,552,58,542,57,195,12,,,,,,,7,Bernd Leno,GK
,,84450,0,0,-1,1,0,3,1.5,1.0,0,Granit,1.0,9,False,,,54,84450.jpg,1.7,Xhaka,0.6,False,,a,1,3,10,20879,226,46566,711,0.2,1.9,Xhaka,407,0,0,1,6,0,0,0,1,0,0,0,47,51.8,33.8,29.0,11.4,208,82,163,100,185,98,204,95,,,2.0,,,,7,Granit Xhaka,MID
0.0,0.0,92371,0,0,-1,1,0,2,0.0,0.0,0,Pablo,0.0,10,False,Ankle injury - Expected back 21 Nov,2020-08-15T10:00:11.357231Z,44,92371.jpg,0.0,Marí,0.0,False,,i,1,3,0,258,4,655,8,0.0,0.0,Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,455,178,437,177,406,163,460,178,,,,,,,7,Pablo Marí,DEF
,,98745,0,0,0,0,1,2,6.3,5.8,9,Héctor,5.8,11,False,,,50,98745.jpg,4.3,Bellerín,5.9,False,,a,1,3,30,290710,9204,219771,3617,1.2,6.0,Bellerín,630,0,3,2,7,0,0,0,3,0,0,3,139,95.2,66.9,33.0,19.6,111,37,93,18,170,45,114,28,,,,,,,7,Héctor Bellerín,DEF
25.0,25.0,101184,0,0,0,0,0,2,0.1,0.0,0,Calum,0.0,13,False,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.386295Z,45,101184.jpg,0.0,Chambers,0.0,False,,d,1,3,0,318,8,841,16,0.0,0.0,Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,490,192,476,192,448,180,494,192,,,,,,,7,Calum Chambers,DEF
,,111457,0,0,-2,2,0,2,0.5,0.0,0,Sead,0.0,14,False,,,48,111457.jpg,2.0,Kolasinac,0.2,False,,a,1,3,2,4419,78,14640,149,0.0,0.4,Kolasinac,90,0,0,0,1,0,0,0,0,0,0,0,9,3.6,5.4,4.0,1.3,372,140,298,97,306,104,373,138,,,,,,,7,Sead Kolasinac,DEF
,,154043,0,0,-2,2,0,2,1.0,0.5,1,Ainsley,0.5,15,False,,,48,154043.jpg,2.2,Maitland-Niles,1.2,False,,a,1,3,9,45370,246,107602,1615,0.1,1.9,Maitland-Niles,187,0,0,1,3,0,0,0,0,0,0,0,35,20.2,4.3,7.0,3.2,303,124,307,103,281,91,337,122,,,,,,,7,Ainsley Maitland-Niles,DEF
0.0,0.0,156074,-1,1,-1,1,0,2,0.0,0.0,5,Rob,1.2,16,False,Hamstring injury - Expected back 21 Nov,2020-10-17T22:30:19.025474Z,44,156074.jpg,3.5,Holding,1.2,False,,i,1,3,14,159119,182,190683,5355,0.3,3.2,Holding,360,0,0,2,4,0,0,0,1,0,0,0,83,66.2,1.6,0.0,6.8,177,73,334,121,418,169,274,95,,,,,,,7,Rob Holding,DEF
