,imp,feature_name
0,3649714.305455208,minutes_lag_1
1,843389.2333817482,ict_index_lag_1
2,503742.36579823494,selected_lag_1
3,378332.9140329361,minutes_lag_2
4,150076.2994365692,opp_strength_overall_home
5,142422.96278190613,influence_lag_1
6,138776.9280629158,bps_lag_1
7,129932.46156597137,threat_lag_1
8,107363.11743307114,creativity_lag_1
9,104667.9186771512,transfers_in_lag_1
10,102908.72925186157,position
11,101030.83321142197,threat_lag_2
12,98618.63767194748,creativity_lag_2
13,88696.90476131439,selected_lag_2
14,86495.46083164215,ict_index_lag_2
15,85187.77726602554,threat_lag_3
16,84351.82054901123,bps_lag_3
17,82864.22957420349,ict_index_lag_3
18,79535.19062042236,opp_strength_defence_home
19,77878.27439594269,bps_lag_2
20,73608.04724597931,transfers_balance_lag_2
21,73548.26125982404,selected_lag_3
22,67994.94448518753,influence_lag_3
23,67223.99519824982,own_ppda_allowed_def_lag_1
24,66131.90656381845,transfers_out_lag_3
25,65943.98881196976,opp_ppda_allowed_att_lag_2
26,65587.58998346329,transfers_out_lag_2
27,65446.10138607025,opp_strength_overall_away
28,62427.14800426364,transfers_balance_lag_3
29,62037.707974255085,transfers_balance_lag_1
30,61374.80723166466,minutes_lag_3
31,59915.72126197815,creativity_lag_3
32,59124.701102256775,opp_ppda_def_lag_1
33,58186.976127147675,own_strength_overall_home
34,55258.88359451294,opp_ppda_allowed_def_lag_1
35,53712.16196393967,transfers_in_lag_3
36,53246.36137998104,transfers_out_lag_1
37,53026.33649587631,influence_lag_2
38,52039.30499649048,own_ppda_att_lag_2
39,51678.32785272598,own_strength_attack_home
40,51128.03751373291,is_home
41,50020.61453008652,own_ppda_allowed_att_lag_2
42,44428.28677654266,own_strength_overall_away
43,44386.04621601105,own_ppda_def_lag_1
44,44308.71397590637,own_ppda_att_lag_1
45,44027.85427856445,own_npxgd_lag_2
46,43899.06501173973,opp_strength_attack_away
47,43466.73313808441,opp_npxgd_lag_1
48,42451.1935377121,own_npxg_lag_2
49,41653.42001390457,opp_strength_attack_home
50,41650.37887954712,opp_ppda_allowed_att_lag_3
51,41080.89555987716,transfers_in_lag_2
52,40653.05935382843,opp_npxga_lag_1
53,40646.08983421326,own_ppda_allowed_att_lag_1
54,39684.97865104675,own_ppda_allowed_def_lag_3
55,39637.754695892334,opp_strength_defence_away
56,39604.42814588547,opp_npxgd_lag_2
57,39429.48302793503,own_ppda_allowed_att_lag_3
58,39268.05511665344,opp_ppda_att_lag_3
59,38339.44193124771,opp_ppda_att_lag_2
60,37837.75918197632,own_ppda_def_lag_3
61,37556.16376209259,opp_ppda_allowed_att_lag_1
62,37412.683190345764,opp_xg_lag_3
63,36862.45670890808,own_xpts_lag_2
64,36646.865703582764,own_ppda_att_lag_3
65,36603.89441490173,opp_deep_allowed_lag_3
66,36322.73407411575,opp_ppda_att_lag_1
67,35678.436228752136,own_ppda_def_lag_2
68,35534.87451171875,own_ppda_allowed_def_lag_2
69,35399.95688343048,goals_conceded_lag_1
70,35107.00150203705,own_xg_lag_2
71,34676.08174037933,own_xga_lag_1
72,34632.30849456787,opp_npxg_lag_3
73,32648.152789115906,own_xpts_lag_1
